species,covariate,model
Macaca nemestrina,Avg_OP_percent_3km,GAM
Sus scrofa,Avg_OP_percent_3km,GAM
Macaca nemestrina,Avg_FLLI_3km,GAM
Sus scrofa,Avg_FLLI_3km,GAM
Macaca nemestrina,Avg_human_footprint_3km,GAM
Sus scrofa,Avg_human_footprint_3km,GAM
Macaca nemestrina,Avg_forest_cover_3km,GAM
Sus scrofa,Avg_forest_cover_3km,GAM
Macaca nemestrina,Avg_OP_percent_3km,Linear
Sus scrofa,Avg_OP_percent_3km,Linear
Macaca nemestrina,Avg_FLLI_3km,Linear
Sus scrofa,Avg_FLLI_3km,Linear
Macaca nemestrina,Avg_human_footprint_3km,Linear
Sus scrofa,Avg_human_footprint_3km,Linear
Macaca nemestrina,Avg_forest_cover_3km,Linear
Sus scrofa,Avg_forest_cover_3km,Linear
Macaca nemestrina,Avg_OP_percent_3km,Quadratic
Sus scrofa,Avg_OP_percent_3km,Quadratic
Macaca nemestrina,Avg_FLLI_3km,Quadratic
Sus scrofa,Avg_FLLI_3km,Quadratic
Macaca nemestrina,Avg_human_footprint_3km,Quadratic
Sus scrofa,Avg_human_footprint_3km,Quadratic
Macaca nemestrina,Avg_forest_cover_3km,Quadratic
Sus scrofa,Avg_forest_cover_3km,Quadratic
Macaca nemestrina,Avg_OP_percent_3km,Cubic
Sus scrofa,Avg_OP_percent_3km,Cubic
Macaca nemestrina,Avg_FLLI_3km,Cubic
Sus scrofa,Avg_FLLI_3km,Cubic
Macaca nemestrina,Avg_human_footprint_3km,Cubic
Sus scrofa,Avg_human_footprint_3km,Cubic
Macaca nemestrina,Avg_forest_cover_3km,Cubic
Sus scrofa,Avg_forest_cover_3km,Cubic
