"","species","covariate","poly"
"1","Sus scrofa","Avg_FLLI_3km","Linear"
"2","Macaca nemestrina","Avg_FLLI_3km","Linear"
"3","Sus scrofa","Avg_forest_cover_3km","Linear"
"4","Macaca nemestrina","Avg_forest_cover_3km","Linear"
"5","Sus scrofa","Avg_human_footprint_3km","Linear"
"6","Macaca nemestrina","Avg_human_footprint_3km","Linear"
"7","Sus scrofa","Avg_human_population_3km","Linear"
"8","Macaca nemestrina","Avg_human_population_3km","Linear"
"9","Sus scrofa","Avg_OP_percent_3km","Linear"
"10","Macaca nemestrina","Avg_OP_percent_3km","Linear"
"11","Sus scrofa","Avg_FLLI_3km","Quadratic"
"12","Macaca nemestrina","Avg_FLLI_3km","Quadratic"
"13","Sus scrofa","Avg_forest_cover_3km","Quadratic"
"14","Macaca nemestrina","Avg_forest_cover_3km","Quadratic"
"15","Sus scrofa","Avg_human_footprint_3km","Quadratic"
"16","Macaca nemestrina","Avg_human_footprint_3km","Quadratic"
"17","Sus scrofa","Avg_human_population_3km","Quadratic"
"18","Macaca nemestrina","Avg_human_population_3km","Quadratic"
"19","Sus scrofa","Avg_OP_percent_3km","Quadratic"
"20","Macaca nemestrina","Avg_OP_percent_3km","Quadratic"
"21","Sus scrofa","Avg_FLLI_3km","Cubic"
"22","Macaca nemestrina","Avg_FLLI_3km","Cubic"
"23","Sus scrofa","Avg_forest_cover_3km","Cubic"
"24","Macaca nemestrina","Avg_forest_cover_3km","Cubic"
"25","Sus scrofa","Avg_human_footprint_3km","Cubic"
"26","Macaca nemestrina","Avg_human_footprint_3km","Cubic"
"27","Sus scrofa","Avg_human_population_3km","Cubic"
"28","Macaca nemestrina","Avg_human_population_3km","Cubic"
"29","Sus scrofa","Avg_OP_percent_3km","Cubic"
"30","Macaca nemestrina","Avg_OP_percent_3km","Cubic"
